from,to,amount,resource,time
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,37
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,38
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,47
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,48
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,53
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,56
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,57
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,62
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,65
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,66
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,75
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,76
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,81
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,84
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,85
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,90
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,93
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,94
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,103
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,104
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,109
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,112
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,113
0,72832678164482443,0.005585278714272945,food,121
0,72832678164482443,0.0041931022839936105,water,121
0,72832678164482443,0.0041931023166768,energy,121
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,121
0,72832678164482443,2.3148165315234337e-05,food,122
0,72832678164482443,2.3148118931004547e-05,water,122
0,72832678164482443,2.314816015314136e-05,energy,122
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,122
0,72832678164482443,2.3148134687289712e-05,food,123
0,72832678164482443,2.3148150100738007e-05,water,123
0,72832678164482443,2.3148148173390837e-05,energy,123
0,72832678164482443,2.314816160975397e-05,food,124
0,72832678164482443,2.314815009896165e-05,water,124
0,72832678164482443,2.3148142128448512e-05,energy,124
0,72832678164482443,2.3148134687289712e-05,food,125
0,72832678164482443,2.3148093077907106e-05,water,125
0,72832678164482443,2.314814951986932e-05,energy,125
0,72832678164482443,2.314816160975397e-05,food,126
0,72832678164482443,2.3148241943715675e-05,water,126
0,72832678164482443,2.3148143474926997e-05,energy,126
0,72832678164482443,2.3148134687289712e-05,food,127
0,72832678164482443,2.3148179451482065e-05,water,127
0,72832678164482443,2.314814949855304e-05,energy,127
