from,to,amount,resource,time
59157180392455231,5486152879909817087,0.1666666666666765,water,57600
59157180392455231,4215053395084778161,0.16666666666666696,water,57600
59157180392455231,471331748438011125,0.16666666666666607,water,57600
59157180392455231,5486152879909817087,0.1666666666666765,energy,57600
59157180392455231,4215053395084778161,0.16666666666666696,energy,57600
59157180392455231,471331748438011125,0.16666666666666607,energy,57600
6020427076749934001,6678226921428014654,0.16666666666666696,food,57600
4367212442693622771,940376366249863041,0.16666666666666674,food,57600
6020427076749934001,9169393089374786098,0.08333389242246181,food,57600
4367212442693622771,9169393089374786098,0.08333277424420427,food,57600
6020427076749934001,6678226921428014654,0.16666666666666696,water,57600
4367212442693622771,940376366249863041,0.16666666666666674,water,57600
6020427076749934001,9169393089374786098,0.08333389242246181,water,57600
4367212442693622771,9169393089374786098,0.08333277424420427,water,57600
6020427076749934001,6678226921428014654,0.16666666666666696,energy,57600
4367212442693622771,940376366249863041,0.16666666666666674,energy,57600
6020427076749934001,9169393089374786098,0.08333389242246181,energy,57600
4367212442693622771,9169393089374786098,0.08333277424420427,energy,57600
59157180392455231,4215053395084778161,0.16666666666666696,food,64800
59157180392455231,5486152879909817087,0.16666666666666674,food,64800
59157180392455231,471331748438011125,0.16666666666666607,food,64800
59157180392455231,4215053395084778161,0.16666666666666696,water,64800
59157180392455231,5486152879909817087,0.16666666666666674,water,64800
59157180392455231,471331748438011125,0.16666666666666607,water,64800
59157180392455231,4215053395084778161,0.16666666666666696,energy,64800
59157180392455231,5486152879909817087,0.16666666666666674,energy,64800
59157180392455231,471331748438011125,0.16666666666666607,energy,64800
4367212442693622771,6678226921428014654,0.16666666666666696,food,64800
6020427076749934001,940376366249863041,0.16666666666666674,food,64800
4367212442693622771,9169393089374786098,0.08333354697204509,food,64800
6020427076749934001,9169393089374786098,0.08333311969462098,food,64800
4367212442693622771,6678226921428014654,0.16666666666666696,water,64800
6020427076749934001,940376366249863041,0.16666666666666674,water,64800
4367212442693622771,9169393089374786098,0.08333354697204509,water,64800
6020427076749934001,9169393089374786098,0.08333311969462098,water,64800
