from,to,amount,resource,time
471331748438011125,59157180392455231,0.1666666666666785,food,7200
471331748438011125,1706256742785406736,0.16666666666666075,food,7200
471331748438011125,59157180392455231,0.1666666666666785,water,7200
471331748438011125,1706256742785406736,0.16666666666666075,water,7200
471331748438011125,59157180392455231,0.1666666666666785,energy,7200
471331748438011125,1706256742785406736,0.16666666666666075,energy,7200
771031604043889004,8723662484743357659,0.16666666666666785,food,7200
771031604043889004,7768631690241501235,0.16666666666666696,food,7200
771031604043889004,7595381217001530194,0.16666666666666674,food,7200
771031604043889004,5507933165417158251,0.16666666666666652,food,7200
771031604043889004,2471019065394751699,0.16666666666650443,food,7200
771031604043889004,3144748028187549242,0.16666666666648666,food,7200
771031604043889004,8723662484743357659,0.16666666666666785,water,7200
771031604043889004,7768631690241501235,0.16666666666666696,water,7200
771031604043889004,7595381217001530194,0.16666666666666674,water,7200
771031604043889004,5507933165417158251,0.16666666666666652,water,7200
771031604043889004,2471019065394751699,0.16666666666650443,water,7200
771031604043889004,3144748028187549242,0.16666666666648666,water,7200
771031604043889004,8723662484743357659,0.16666666666666785,energy,7200
771031604043889004,7768631690241501235,0.16666666666666696,energy,7200
771031604043889004,7595381217001530194,0.16666666666666674,energy,7200
771031604043889004,5507933165417158251,0.16666666666666652,energy,7200
771031604043889004,2471019065394751699,0.16666666666650443,energy,7200
771031604043889004,3144748028187549242,0.16666666666648666,energy,7200
471331748438011125,1706256742785406736,0.16666666666667274,food,14400
471331748438011125,59157180392455231,0.16666666666665186,food,14400
471331748438011125,1706256742785406736,0.16666666666667274,water,14400
471331748438011125,59157180392455231,0.16666666666665186,water,14400
471331748438011125,1706256742785406736,0.16666666666667274,energy,14400
471331748438011125,59157180392455231,0.16666666666665186,energy,14400
771031604043889004,3144748028187549242,0.16666666666695917,food,14400
771031604043889004,2471019065394751699,0.16666666666695562,food,14400
771031604043889004,7768631690241501235,0.16666666666663232,food,14400
771031604043889004,7595381217001530194,0.16666666666662633,food,14400
771031604043889004,5507933165417158251,0.166666666666619,food,14400
771031604043889004,8723662484743357659,0.1666666666665968,food,14400
771031604043889004,3144748028187549242,0.16666666666695917,water,14400
771031604043889004,2471019065394751699,0.16666666666695562,water,14400
771031604043889004,7768631690241501235,0.16666666666663232,water,14400
771031604043889004,7595381217001530194,0.16666666666662633,water,14400
771031604043889004,5507933165417158251,0.166666666666619,water,14400
771031604043889004,8723662484743357659,0.1666666666665968,water,14400
771031604043889004,3144748028187549242,0.16666666666695917,energy,14400
771031604043889004,2471019065394751699,0.16666666666695562,energy,14400
771031604043889004,7768631690241501235,0.16666666666663232,energy,14400
771031604043889004,7595381217001530194,0.16666666666662633,energy,14400
771031604043889004,5507933165417158251,0.166666666666619,energy,14400
771031604043889004,8723662484743357659,0.1666666666665968,energy,14400
4231424175768623726,7645724800131220681,0.3333333333333348,food,14400
4231424175768623726,8638436342460287722,0.33333333333333304,food,14400
4231424175768623726,7040991952718902759,0.33333333333333215,food,14400
4231424175768623726,8445761935790750537,0.33333333333333215,food,14400
4231424175768623726,7645724800131220681,0.3333333333333348,water,14400
4231424175768623726,8638436342460287722,0.33333333333333304,water,14400
4231424175768623726,7040991952718902759,0.33333333333333215,water,14400
4231424175768623726,8445761935790750537,0.33333333333333215,water,14400
4231424175768623726,7645724800131220681,0.3333333333333348,energy,14400
4231424175768623726,8638436342460287722,0.33333333333333304,energy,14400
4231424175768623726,7040991952718902759,0.33333333333333215,energy,14400
4231424175768623726,8445761935790750537,0.33333333333333215,energy,14400
471331748438011125,59157180392455231,0.16666666666668029,food,21600
471331748438011125,1706256742785406736,0.16666666666665897,food,21600
471331748438011125,59157180392455231,0.16666666666668029,water,21600
471331748438011125,1706256742785406736,0.16666666666665897,water,21600
471331748438011125,59157180392455231,0.16666666666668029,energy,21600
471331748438011125,1706256742785406736,0.16666666666665897,energy,21600
771031604043889004,8723662484743357659,0.16666666666673713,food,21600
771031604043889004,5507933165417158251,0.16666666666671404,food,21600
771031604043889004,7595381217001530194,0.16666666666670715,food,21600
771031604043889004,7768631690241501235,0.1666666666667016,food,21600
771031604043889004,2471019065394751699,0.16666666666664298,food,21600
771031604043889004,3144748028187549242,0.16666666666663943,food,21600
771031604043889004,8723662484743357659,0.16666666666673713,water,21600
771031604043889004,5507933165417158251,0.16666666666671404,water,21600
771031604043889004,7595381217001530194,0.16666666666670715,water,21600
771031604043889004,7768631690241501235,0.1666666666667016,water,21600
771031604043889004,2471019065394751699,0.16666666666664298,water,21600
771031604043889004,3144748028187549242,0.16666666666663943,water,21600
771031604043889004,8723662484743357659,0.16666666666673713,energy,21600
771031604043889004,5507933165417158251,0.16666666666671404,energy,21600
